City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,19.54,93,30,18.21,scattered clouds
1,Yellowknife,CA,62.456,-114.3525,27.12,74,75,5.75,broken clouds
2,Airai,TL,-8.9266,125.4092,61.43,80,73,2.71,broken clouds
3,Mahebourg,MU,-20.4081,57.7,73.26,81,31,10.4,scattered clouds
4,Itarema,BR,-2.9248,-39.9167,83.66,65,13,16.58,few clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,13.1,84,21,8.79,few clouds
6,Mataura,NZ,-46.1927,168.8643,45.82,99,100,7.92,moderate rain
7,Marshfield,US,44.6689,-90.1718,72.66,56,0,14.97,clear sky
8,Marawi,PH,7.9986,124.2928,68.81,93,100,1.5,overcast clouds
9,Ushuaia,AR,-54.8,-68.3,50.29,74,36,5.99,scattered clouds
10,Albany,US,42.6001,-73.9662,63.34,58,100,2.82,overcast clouds
11,Punta Arenas,CL,-53.15,-70.9167,57.31,41,0,31.07,clear sky
12,Banjar,ID,-8.19,114.9675,77.23,90,31,4.09,scattered clouds
13,Ayolas,PY,-27.4,-56.9,80.56,53,0,7.78,light rain
14,Mecca,SA,21.4267,39.8261,81.73,59,0,5.46,clear sky
15,Butaritari,KI,3.0707,172.7902,80.64,76,97,6.24,overcast clouds
16,Georgetown,MY,5.4112,100.3354,82.33,83,40,3.44,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,72.36,79,100,10.76,light rain
18,Tambacounda,SN,13.7539,-13.7586,87.12,51,1,1.97,clear sky
19,San Jeronimo,PE,-11.9472,-75.2829,64.29,47,82,10.18,broken clouds
20,Upernavik,GL,72.7868,-56.1549,27.97,77,98,4.5,overcast clouds
21,Kisangani,CD,0.5167,25.2,71.56,98,100,1.5,overcast clouds
22,Acapulco,MX,16.8634,-99.8901,84.29,71,45,7.11,scattered clouds
23,Constitucion,CL,-35.3333,-72.4167,56.77,61,100,9.91,overcast clouds
24,Khatanga,RU,71.9667,102.5,11.21,87,24,11.07,few clouds
25,Rafraf,TN,37.1904,10.1837,75.51,70,0,16.13,clear sky
26,Magadan,RU,59.5667,150.8,19.26,65,100,13.04,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,21.24,94,100,1.34,overcast clouds
28,Avera,US,33.194,-82.5271,77.56,39,20,4.83,few clouds
29,Pochutla,MX,15.7432,-96.4661,85.82,75,95,5.55,overcast clouds
30,Mar Del Plata,AR,-38.0023,-57.5575,60.94,76,40,21.99,light rain
31,Veraval,IN,20.9,70.3667,79.16,49,0,4.16,clear sky
32,Riyadh,SA,24.6877,46.7219,77.14,15,0,6.08,clear sky
33,Huambo,AO,-12.7761,15.7392,69.85,53,98,1.32,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,61.99,89,62,8.66,broken clouds
35,Jamestown,US,42.097,-79.2353,70.95,42,100,6.46,overcast clouds
36,Souillac,MU,-20.5167,57.5167,72.37,82,3,9.89,clear sky
37,Lorengau,PG,-2.0226,147.2712,80.6,66,96,3.65,overcast clouds
38,Thompson,CA,55.7435,-97.8558,34.11,66,100,9.15,overcast clouds
39,Ust-Ishim,RU,57.6935,71.1665,29.16,69,73,9.78,broken clouds
40,Hilo,US,19.7297,-155.09,79.11,80,91,5.01,overcast clouds
41,Keti Bandar,PK,24.1447,67.4497,82.18,57,0,7.4,clear sky
42,Kirakira,SB,-10.4544,161.9205,77.23,88,100,2.33,light rain
43,Wajir,KE,1.7471,40.0573,82.15,53,15,15.1,few clouds
44,Sal Rei,CV,16.1833,-22.9167,79.0,73,20,14.97,few clouds
45,Longyearbyen,SJ,78.2186,15.6401,21.04,73,40,10.36,scattered clouds
46,Antofagasta,CL,-23.65,-70.4,65.89,64,14,9.75,few clouds
47,Cape Town,ZA,-33.9258,18.4232,70.21,80,20,23.02,few clouds
48,Murdochville,CA,48.9583,-65.5006,61.47,55,14,1.72,few clouds
49,Ternate,ID,0.8,127.4,82.26,78,18,4.7,few clouds
50,Ribeira Grande,PT,38.5167,-28.7,64.8,68,20,10.36,few clouds
51,Santa Ines,BR,-3.6667,-45.38,90.86,48,100,3.74,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,72.82,77,42,10.54,scattered clouds
53,Oranjemund,NA,-28.55,16.4333,60.91,95,91,6.08,overcast clouds
54,Vostok,RU,46.4856,135.8833,24.62,96,8,1.1,clear sky
55,Port Alfred,ZA,-33.5906,26.891,66.18,87,78,1.01,broken clouds
56,Lasa,IT,46.6166,10.7002,51.37,97,78,4.43,broken clouds
57,Uberlandia,BR,-18.9186,-48.2772,83.01,43,90,4.72,overcast clouds
58,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,13,9.24,few clouds
59,San Patricio,US,28.017,-97.5169,87.55,55,100,22.79,overcast clouds
60,Saskylakh,RU,71.9167,114.0833,6.6,98,63,6.08,broken clouds
61,Port Elizabeth,ZA,-33.918,25.5701,66.31,91,98,1.99,overcast clouds
62,Kaitangata,NZ,-46.2817,169.8464,46.62,93,100,13.82,overcast clouds
63,Castro,BR,-24.7911,-50.0119,75.2,50,0,3.83,clear sky
64,Warah,PK,27.4481,67.7978,77.67,28,0,3.65,clear sky
65,Marystown,CA,47.1666,-55.1483,55.94,79,100,16.35,overcast clouds
66,Hithadhoo,MV,-0.6,73.0833,81.79,70,93,5.08,overcast clouds
67,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,84,100,11.81,light rain
68,Esperance,AU,-33.8667,121.9,55.8,70,100,13.58,overcast clouds
69,Cap-Aux-Meules,CA,47.3821,-61.8597,53.55,86,100,9.26,overcast clouds
70,Ocean City,US,39.2776,-74.5746,61.05,89,100,15.99,overcast clouds
71,Isangel,VU,-19.55,169.2667,73.02,83,100,18.32,overcast clouds
72,Faanui,PF,-16.4833,-151.75,78.94,75,22,11.01,few clouds
73,Victoria,HK,22.2855,114.1577,78.85,71,97,8.99,overcast clouds
74,Norman Wells,CA,65.282,-126.8329,21.85,87,100,1.21,overcast clouds
75,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,59,5.99,broken clouds
76,Kapaa,US,22.0752,-159.319,81.1,79,17,7.0,few clouds
77,Bambous Virieux,MU,-20.3428,57.7575,73.22,81,31,10.09,scattered clouds
78,Port Lincoln,AU,-34.7333,135.8667,55.72,84,100,16.28,overcast clouds
79,Suntar,RU,62.1444,117.6319,33.48,98,100,11.63,snow
80,Sakakah,SA,29.9697,40.2064,77.61,30,85,12.77,overcast clouds
81,Xique-Xique,BR,-10.8218,-42.7263,87.53,48,100,3.22,overcast clouds
82,Bolshaya Rechka,RU,51.9503,104.7355,43.07,79,3,6.15,clear sky
83,Kumano,JP,34.3442,132.5894,58.12,79,81,9.42,broken clouds
84,Busselton,AU,-33.65,115.3333,55.27,90,82,8.25,broken clouds
85,Chiang Kham,TH,19.5233,100.3,70.88,93,93,2.04,overcast clouds
86,Pevek,RU,69.7008,170.3133,15.42,94,100,5.26,overcast clouds
87,Purpe,RU,64.4803,76.6897,29.41,65,100,19.04,overcast clouds
88,Ponta Do Sol,PT,32.6667,-17.1,71.01,70,100,3.18,overcast clouds
89,East London,ZA,-33.0153,27.9116,69.28,79,100,10.0,overcast clouds
90,Tarbagatay,RU,51.4803,107.3602,24.33,70,98,1.52,overcast clouds
91,Antalaha,MG,-14.9003,50.2788,69.37,89,24,2.15,few clouds
92,Vao,NC,-22.6667,167.4833,72.75,77,100,25.57,overcast clouds
93,Bethel,US,41.3712,-73.414,60.89,70,100,5.57,light rain
94,Neryungri,RU,56.6709,124.6491,6.73,97,100,4.76,overcast clouds
95,Valavanur,IN,11.9209,79.5824,75.83,67,56,5.1,broken clouds
96,Cabo San Lucas,MX,22.8909,-109.9124,90.61,63,10,13.22,clear sky
97,Bluff,NZ,-46.6,168.3333,47.34,84,100,17.78,light rain
98,Clyde River,CA,70.4692,-68.5914,18.75,90,98,8.52,overcast clouds
99,Vardo,NO,70.3705,31.1107,39.18,65,75,24.16,broken clouds
100,Honiara,SB,-9.4333,159.95,76.12,90,100,3.49,overcast clouds
101,Porto Novo,BJ,6.4965,2.6036,78.31,88,68,5.08,light rain
102,Bud,US,39.447,-86.1758,78.85,47,0,16.17,clear sky
103,Soe,ID,-9.8607,124.284,67.48,89,70,3.65,broken clouds
104,Skelleftea,SE,64.7507,20.9528,34.16,86,0,9.22,clear sky
105,Teknaf,BD,20.8624,92.3058,77.65,90,100,5.55,moderate rain
106,Cayenne,GF,4.9333,-52.3333,87.84,62,0,12.66,clear sky
107,Trier,DE,49.7557,6.6394,62.17,86,100,11.92,overcast clouds
108,Hindoria,IN,23.9,79.5667,65.88,62,0,0.92,clear sky
109,Jiexiu,CN,37.0244,111.9125,53.91,30,19,1.45,few clouds
110,Bengkulu,ID,-3.8004,102.2655,76.39,89,100,3.33,overcast clouds
111,Wasilla,US,61.5814,-149.4394,28.06,90,0,3.44,clear sky
112,Luderitz,NA,-26.6481,15.1594,62.15,82,95,16.35,overcast clouds
113,Tiznit,MA,29.5833,-9.5,78.58,12,100,10.49,overcast clouds
114,Provideniya,RU,64.3833,-173.3,27.18,87,72,5.23,broken clouds
115,Alekseyevsk,RU,57.8406,108.3492,45.0,64,100,12.46,overcast clouds
116,Waingapu,ID,-9.6567,120.2641,80.71,82,94,3.2,overcast clouds
117,Paita,PE,-5.0892,-81.1144,68.65,71,99,16.98,overcast clouds
118,Chuy,UY,-33.6971,-53.4616,62.37,82,79,12.82,broken clouds
119,Adrar,MR,20.5022,-10.0711,90.05,12,0,9.73,clear sky
120,Laurel,US,39.0993,-76.8483,67.17,70,100,4.61,overcast clouds
121,Fjerritslev,DK,57.0813,9.2664,47.89,87,100,10.36,overcast clouds
122,New Norfolk,AU,-42.7826,147.0587,51.3,77,100,3.0,overcast clouds
123,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,3.44,clear sky
124,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,75,24,23.73,few clouds
125,Port Blair,IN,11.6667,92.75,80.64,83,100,16.06,overcast clouds
126,Te Anau,NZ,-45.4167,167.7167,50.61,97,100,1.59,light rain
127,Husavik,IS,66.0449,-17.3389,34.05,77,100,10.22,overcast clouds
128,Houma,US,29.5958,-90.7195,82.0,58,0,17.27,clear sky
129,Touros,BR,-5.1989,-35.4608,81.46,69,77,13.91,broken clouds
