City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Airai,TL,61.43,broken clouds,-8.9266,125.4092,
3,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
4,Itarema,BR,83.66,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
7,Marshfield,US,72.66,clear sky,44.6689,-90.1718,"Holiday Inn Conference Ctr Marshfield, an IHG Hotel"
8,Marawi,PH,68.81,overcast clouds,7.9986,124.2928,Derogongan Residence
9,Ushuaia,AR,50.29,scattered clouds,-54.8,-68.3,Albatross Hotel
10,Albany,US,63.34,overcast clouds,42.6001,-73.9662,
11,Punta Arenas,CL,57.31,clear sky,-53.15,-70.9167,Hotel Hain
12,Banjar,ID,77.23,scattered clouds,-8.19,114.9675,The Hamsa Resort
13,Ayolas,PY,80.56,light rain,-27.4,-56.9,Hotel Ayolas
14,Mecca,SA,81.73,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
15,Butaritari,KI,80.64,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
16,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
17,Rikitea,PF,72.36,light rain,-23.1203,-134.9692,People ThankYou
18,Tambacounda,SN,87.12,clear sky,13.7539,-13.7586,
19,San Jeronimo,PE,64.29,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
21,Kisangani,CD,71.56,overcast clouds,0.5167,25.2,Grand Ramela Hotel
22,Acapulco,MX,84.29,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
23,Constitucion,CL,56.77,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
25,Rafraf,TN,75.51,clear sky,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
28,Avera,US,77.56,few clouds,33.194,-82.5271,
29,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
30,Mar Del Plata,AR,60.94,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
31,Veraval,IN,79.16,clear sky,20.9,70.3667,Lords Inn Somnath
32,Riyadh,SA,77.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
33,Huambo,AO,69.85,overcast clouds,-12.7761,15.7392,Residencial Mãesidencial Mãe Lina
34,Bredasdorp,ZA,61.99,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
35,Jamestown,US,70.95,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
36,Souillac,MU,72.37,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
37,Lorengau,PG,80.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
40,Hilo,US,79.11,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,Keti Bandar,PK,82.18,clear sky,24.1447,67.4497,Haji laloo memon house
42,Kirakira,SB,77.23,light rain,-10.4544,161.9205,SanBiz Lodge
43,Wajir,KE,82.15,few clouds,1.7471,40.0573,Mahatallah Hotel
44,Sal Rei,CV,79.0,few clouds,16.1833,-22.9167,Marine Club Beach Resort
46,Antofagasta,CL,65.89,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
47,Cape Town,ZA,70.21,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
48,Murdochville,CA,61.47,few clouds,48.9583,-65.5006,Les Suites économique Murdochville
49,Ternate,ID,82.26,few clouds,0.8,127.4,Sahid Bela Ternate Hotel
50,Ribeira Grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
51,Santa Ines,BR,90.86,overcast clouds,-3.6667,-45.38,Palace hotel
52,Arraial Do Cabo,BR,72.82,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Oranjemund,,60.91,overcast clouds,-28.55,16.4333,The Fisherman's Cove
55,Port Alfred,ZA,66.18,broken clouds,-33.5906,26.891,The Halyards Hotel & Spa
56,Lasa,IT,51.37,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
57,Uberlandia,BR,83.01,overcast clouds,-18.9186,-48.2772,Hotel Apollo
58,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,Le four à pain
59,San Patricio,US,87.55,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
61,Port Elizabeth,ZA,66.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
63,Castro,BR,75.2,clear sky,-24.7911,-50.0119,CHACARA BAILLY
64,Warah,PK,77.67,clear sky,27.4481,67.7978,Nizamuddin Lohaar Home Soomra Muhallah Bhittai Colony Warah.
65,Marystown,CA,55.94,overcast clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
66,Hithadhoo,MV,81.79,overcast clouds,-0.6,73.0833,Scoop Guest House
67,Vila Franca Do Campo,PT,65.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
68,Esperance,AU,55.8,overcast clouds,-33.8667,121.9,Hospitality Esperance
69,Cap-Aux-Meules,CA,53.55,overcast clouds,47.3821,-61.8597,Château Madelinot
70,Ocean City,US,61.05,overcast clouds,39.2776,-74.5746,Biscayne Suites
71,Isangel,VU,73.02,overcast clouds,-19.55,169.2667,Tanna Lodge
72,Faanui,PF,78.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
73,Victoria,HK,78.85,overcast clouds,22.2855,114.1577,Mini Central
